方言,日本語
したっけよ,してそれで//そして
したっけが,してそれで//そして
したっくれ,してそれで//そして
しっかじる,ひっかく//ひっかじる
しったつ,立つ
ひったつ,立つ
しっちねる,つねる//ひんにくる
ひっちねる,つねる//ひんにくる
しっちゃばぐ,破る
しっちらかす,ちらかす//おっちらかす//かっちらかす
しっぱね,水はね//泥はね
しっぱねる,はねる//ひっぱねる//つっぱねる
しつか,静か
して,して
して,で
してい,額
して,額
ひてい,額
しとんで,一人で
しないちゃった,しなかった//し忘れてしまった//しそこなってしまった
しねっちゃった,しなかった//し忘れてしまった//しそこなってしまった
しねちった,しなかった//し忘れてしまった//しそこなってしまった
しないじゃった,しなかった//し忘れてしまった//しそこなってしまった
四方もち,餅撒きの際に、家の四隅にひとつずつ撒かれる餅
四方がため,餅撒きの際に、家の四隅にひとつずつ撒かれる餅
親もち,餅撒きの際に、家の四隅にひとつずつ撒かれる餅
ぐしもち,餅撒きの際に、家の四隅にひとつずつ撒かれる餅
しみじみ,しっかり//みっちり
シミズ,シュミーズ//女性の下着
しめぇ,葬式
終い,葬式
しもげる,寒さで野菜が傷む
しゃーしゃど,知らん顔して//平気な顔で
しゃーね,しょうがない
しゃーねえ,しょうがない
しゃーんめ,しょうがない
しゃーんめえ,しょうがない
しゃあんめ,しょうがない
しゃあねえ,しょうがない
しょーね,しょうがない
しょーねえ,しょうがない
しゃがらもねぇ,くだらない
しゃぐもしねえ,話にならない//たいしたことない//ひゃくもしねえ
しゃしみ,刺身
しゃじ,さじ//スプーン
シャッツ,シャツ
しゃっぽ,帽子
しゃで,弟
しゃて,弟
しゃばぐれ,しらばっくれること
しゃらす,どかす//ずらす
しゃらかす,どかす//ずらす
しょー,塩//醤油
しょ,塩//醤油
しょい,醤油
しょう,背負う
食用がえる,うしがえる
しょんべんごぼ,トイレ
しらっちゃげる,白茶ける//しらちゃける
尻っぺた,尻の//座ったときに下に着く部分
尻ぺた,尻の//座ったときに下に着く部分
けづっぺた,尻の//座ったときに下に着く部分
けづぴた,尻の//座ったときに下に着く部分
しべた,尻の//座ったときに下に着く部分
しんしょう,財産
新宅,分家
しんねっぷり,知らんぷり
じーとば,春欄
じぎょう,授業
じぐじゃれ,あまえんぼう
じぐじゃれる,あまえる
じさま,おじいさん
じっかに,一面に隙間なく//ぎっしり
じっち,おじいちゃん
じっちやん,おじいちゃん
じば,自爆
じばる,自爆する
じばくる,自爆する
じぶるぎ,地震//地響き
じびろぎ,地震//地響き
じみょう,寿命
